Organization Name,Founders,Founding Date,Closing Date,Industry,Funding,HQ Location,Employees,About/Description,Slug,Crunchbase Img
Omni,"Aaron Wiener, Adam Dexter, Thomas McLeod","Aug 1, 2014","Jan 6, 2020","Apps, marketplace, mobile",35.3M,"San Francisco, California, United States",51-100,Omni is a marketplace that provides access to the things needed by nayone through its rentals platform.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/c5rz7hpojjlmwdq8ea1l"
CloudCI,Charles Green,"Aug 27, 2020","Dec 31, 2020",Cloud Security,,"Greater Philadelphia Area, East Coast, Southern US",1-10,Continuous Code Quality & Security Analysis for Go,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/x40ldzpbl3s1mzm6vmz7"
RangoHunt,"Joao Victor Rocha Soares, Rodrigo Meurer","Jun 15, 2020","Dec 15, 2020","Food and Beverages, Food Delivery, Restaurants",,Latin America,1-10,Food delivery data startup helping restaurants to improve their results in delivery channel and helping users to find the best food offer,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/dnlhkl4g7fhhcmisaewn"
99dresses,Nikki Durkin,2010,Jun 2014,"Apps, Fashion, File Sharing",105.7K,"Asia-Pacific (APAC), Australasia",1-10,99dresses is a virtual closet that allows user to trade fashion items with other users,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397196844/5ff540c906cff2a77d988bde2b0f4e55.png"
Yellloh,"Adrian Grayson-Widarsito, Andy Crone, Jon Wellman","May 1, 2013","Jan 16, 2014","Apps, Blogging platforms, communities, social media",91.9K,"Asia-Pacific (APAC), Australasia",1-10,Yellloh is a social network that connects people based on their interests,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1419280365/u74fvakuuvsiywihc06c.png"
Timtara,Arindam Bose,"May 1, 2010",,E-Commerce,,"Noida, Uttar Pradesh, India",11-50,"huge range of electronic gadgets such as LCS, Cameras, Mobiles, Laptops & peripherals, Health Care, etc.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397195093/ed75c88bfc0003a9fb9f150ce6b052a7.jpg"
Vault,"Emiliano Villareal, Josh Pierce, Tony Aguilar",2013,2014,"Financial services, lending, personal finance",16M,"Austin, Texas, United States",11-50,Attract top talent with a workplace benefit that helps your employees crush their student loan debt.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1414413017/nlcx4ovi8pcm5ksblc3z.png"
Assetiz,Arian Adeli Koodehi,"Mar 22, 2020","Jun 7, 2021","Business Development, Finance, Media and Entertainment",,,11-50,"Assetiz is a publication which focuses on daily news, finance, business, entrepreneurship, politics, STEM, and lifestyle. We aim to provide the most reliable and informative articles to our audience.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vwqwrqevzjfurrugdqgg"
GRANDUNO inc,"Mary-Queenie Adam, Morgane Adam","April 1, 2021",,"Communities, Content, Social Media, Social Network",,"Washington DC Metro Area,Southern US",1-10,Small businesses unite,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/retaqzfacejarngfjuak"
LearnBite,"Jason Bloxsidge, Simon Seebaluck",Aug 2019,"Jun 24, 2021",Higher Education,,,1-10,"LearnBite is a new era in teaching and learning, built for maximum student engagement. Using micro learning theory, LearnBite delivers short bite size business video's that are designed for gen y & z, interactive features and ESL student friendly.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/gzn0lghesn9vutaezqd6"
